ImageID,ImagingDistance,ExposureTime,PowerdividedbyArea,Fnumber,Focal,CMOSPixelSize,CMOSResponsivity,Width,Height,Area,MaxValue,MinValue,Mean,Median,Variance,Xcoordinate,Ycoordinate,Diameter
1,225,700,757.5,1.4,8,2.4,0.5,8,8,41,27.0000,0.0000,0.1006,0.0000,1.1467,969,753,20
2,225,700,757.5,1.4,8,2.4,0.5,6,5,20,9.0000,0.0000,0.1013,0.0000,0.4057,541,755,20
3,225,700,757.5,1.4,8,2.4,0.5,7,7,32,16.0000,0.0000,0.0890,0.0000,0.5807,754,754,20
4,225,700,757.5,1.4,8,2.4,0.5,8,8,45,23.0000,0.0000,0.0875,0.0000,0.9286,1186,754,20
5,225,700,757.5,1.4,8,2.4,0.5,8,7,35,24.0000,0.0000,0.1000,0.0000,0.9443,1403,755,20
6,225,700,757.5,1.4,8,2.4,0.5,6,8,29,19.0000,0.0000,0.1042,0.0000,0.8616,1622,754,20
7,225,700,757.5,1.4,8,2.4,0.5,4,5,13,10.0000,0.0000,0.1060,0.0000,0.5108,1841,756,20
8,225,700,757.5,1.4,8,2.4,0.5,6,4,18,9.0000,0.0000,0.1183,0.0000,0.4910,2058,757,20
9,225,700,757.5,1.4,8,2.4,0.5,5,4,12,7.0000,0.0000,0.0960,0.0000,0.2708,2275,758,20
10,225,700,757.5,1.4,8,2.4,0.5,12,10,85,84.0000,0.0000,0.3183,0.0000,12.4157,530,1182,50
11,225,700,757.5,1.4,8,2.4,0.5,9,10,63,126.0000,0.0000,0.4951,0.0000,27.4189,747,1183,50
12,225,700,757.5,1.4,8,2.4,0.5,10,10,71,164.0000,0.0000,0.4956,0.0000,36.6772,964,1184,50
13,225,700,757.5,1.4,8,2.4,0.5,9,10,75,241.0000,0.0000,0.6396,0.0000,63.8412,1183,1185,50
14,225,700,757.5,1.4,8,2.4,0.5,12,11,90,166.0000,0.0000,0.3742,0.0000,24.9978,1400,1185,50
15,225,700,757.5,1.4,8,2.4,0.5,11,9,71,101.0000,0.0000,0.3749,0.0000,14.5810,1620,1188,50
16,225,700,757.5,1.4,8,2.4,0.5,13,10,89,95.0000,0.0000,0.3302,0.0000,13.3399,1839,1188,50
17,225,700,757.5,1.4,8,2.4,0.5,12,10,80,92.0000,0.0000,0.3340,0.0000,12.1278,2058,1189,50
18,225,700,757.5,1.4,8,2.4,0.5,12,9,77,63.0000,0.0000,0.2530,0.0000,5.9816,2277,1190,50
19,225,700,757.5,1.4,8,2.4,0.5,10,8,55,38.0000,0.0000,0.2615,0.0000,4.9441,2495,1191,50
20,225,700,757.5,1.4,8,2.4,0.5,18,16,183,226.0000,0.0000,0.5308,0.0000,56.8715,524,1614,100
21,225,700,757.5,1.4,8,2.4,0.5,18,18,200,236.0000,0.0000,0.5106,0.0000,69.2551,742,1614,100
22,225,700,757.5,1.4,8,2.4,0.5,16,17,158,238.0000,0.0000,0.5938,0.0000,86.7747,961,1617,100
23,225,700,757.5,1.4,8,2.4,0.5,14,15,134,238.0000,0.0000,0.7890,0.0000,108.5414,1178,1621,100
24,225,700,757.5,1.4,8,2.4,0.5,16,19,157,213.0000,0.0000,0.5382,0.0000,60.1851,1836,1621,100
25,225,700,757.5,1.4,8,2.4,0.5,15,20,173,218.0000,0.0000,0.4995,0.0000,51.8012,2058,1621,100
26,225,700,757.5,1.4,8,2.4,0.5,14,14,137,232.0000,0.0000,0.8422,0.0000,110.6876,1396,1622,100
27,225,700,757.5,1.4,8,2.4,0.5,15,15,154,229.0000,0.0000,0.7518,0.0000,90.5151,1616,1623,100
28,225,700,757.5,1.4,8,2.4,0.5,13,19,151,164.0000,0.0000,0.4900,0.0000,39.4599,2280,1623,100
29,225,700,757.5,1.4,8,2.4,0.5,15,12,109,112.0000,0.0000,0.4487,0.0000,22.6918,2498,1630,100
30,225,7000,757.5,1.4,8,2.4,0.5,7,7,39,13.0000,0.0000,0.1135,0.0000,0.5937,1619,327,10
31,225,7000,757.5,1.4,8,2.4,0.5,6,6,23,9.0000,0.0000,0.1056,0.0000,0.4411,2053,327,10
32,225,7000,757.5,1.4,8,2.4,0.5,6,7,30,10.0000,0.0000,0.1295,0.0000,0.6404,975,328,10
33,225,7000,757.5,1.4,8,2.4,0.5,8,7,34,13.0000,0.0000,0.1036,0.0000,0.6014,1188,328,10
34,225,7000,757.5,1.4,8,2.4,0.5,4,5,14,3.0000,0.0000,0.0420,0.0000,0.0722,2485,329,10
35,225,7000,757.5,1.4,8,2.4,0.5,7,7,36,7.0000,0.0000,0.0857,0.0000,0.3069,548,331,10
36,225,7000,757.5,1.4,8,2.4,0.5,6,6,21,6.0000,0.0000,0.0822,0.0000,0.2377,761,330,10
37,225,7000,757.5,1.4,8,2.4,0.5,9,12,73,94.0000,0.0000,0.3904,0.0000,14.4054,539,750,20
38,225,7000,757.5,1.4,8,2.4,0.5,9,11,67,167.0000,0.0000,0.6226,0.0000,38.3158,753,750,20
39,225,7000,757.5,1.4,8,2.4,0.5,9,12,72,233.0000,0.0000,0.7474,0.0000,66.3147,969,750,20
40,225,7000,757.5,1.4,8,2.4,0.5,10,12,79,244.0000,0.0000,0.6740,0.0000,64.8037,1185,750,20
41,225,7000,757.5,1.4,8,2.4,0.5,11,12,87,233.0000,0.0000,0.6197,0.0000,51.7017,1402,750,20
42,225,7000,757.5,1.4,8,2.4,0.5,12,11,95,225.0000,0.0000,0.5685,0.0000,45.1889,1620,751,20
43,225,7000,757.5,1.4,8,2.4,0.5,13,11,90,110.0000,0.0000,0.2873,0.0000,11.6884,1836,751,20
44,225,7000,757.5,1.4,8,2.4,0.5,13,11,94,95.0000,0.0000,0.3418,0.0000,12.2171,2056,752,20
45,225,7000,757.5,1.4,8,2.4,0.5,13,11,80,71.0000,0.0000,0.2453,0.0000,6.6170,2272,753,20
46,225,7000,757.5,1.4,8,2.4,0.5,10,8,56,27.0000,0.0000,0.1640,0.0000,1.8341,2491,756,20
47,225,7000,757.5,1.4,8,2.4,0.5,23,19,245,255.0000,0.0000,0.6875,0.0000,111.0068,529,1177,50
48,225,7000,757.5,1.4,8,2.4,0.5,19,18,200,255.0000,0.0000,0.8912,0.0000,144.8378,747,1178,50
49,225,7000,757.5,1.4,8,2.4,0.5,16,23,222,249.0000,0.0000,0.9124,0.0000,127.9828,2055,1179,50
50,225,7000,757.5,1.4,8,2.4,0.5,14,32,224,244.0000,0.0000,0.4855,0.0000,63.1550,2493,1178,50
51,225,7000,757.5,1.4,8,2.4,0.5,18,19,197,253.0000,0.0000,1.0602,0.0000,155.2629,1834,1181,50
52,225,7000,757.5,1.4,8,2.4,0.5,16,12,132,255.0000,0.0000,1.6752,0.0000,291.0743,965,1182,50
53,225,7000,757.5,1.4,8,2.4,0.5,16,24,215,243.0000,0.0000,0.6927,0.0000,95.4716,2274,1182,50
54,225,7000,757.5,1.4,8,2.4,0.5,10,11,77,255.0000,0.0000,2.7585,0.0000,492.9373,1183,1185,50
55,225,7000,757.5,1.4,8,2.4,0.5,16,13,155,255.0000,0.0000,1.4592,0.0000,202.0883,1616,1185,50
56,225,7000,757.5,1.4,8,2.4,0.5,12,10,87,254.0000,0.0000,2.8983,0.0000,479.9420,1400,1186,50
57,225,7000,757.5,1.4,8,2.4,0.5,25,26,419,255.0000,0.0000,1.0613,0.0000,183.1241,524,1605,100
58,225,7000,757.5,1.4,8,2.4,0.5,26,24,465,255.0000,0.0000,1.1190,0.0000,190.0246,742,1608,100
59,225,7000,757.5,1.4,8,2.4,0.5,25,26,433,255.0000,0.0000,1.0282,0.0000,170.5714,959,1608,100
60,225,7000,757.5,1.4,8,2.4,0.5,24,24,348,255.0000,0.0000,1.1797,0.0000,192.6682,1173,1612,100
61,225,7000,757.5,1.4,8,2.4,0.5,23,24,320,255.0000,0.0000,1.2832,0.0000,214.2543,1390,1613,100
62,225,7000,757.5,1.4,8,2.4,0.5,24,36,359,255.0000,0.0000,0.7453,0.0000,137.7064,2269,1613,100
63,225,7000,757.5,1.4,8,2.4,0.5,22,40,347,254.0000,0.0000,0.6143,0.0000,104.8875,2491,1613,100
64,225,7000,757.5,1.4,8,2.4,0.5,26,24,402,255.0000,0.0000,1.1945,0.0000,199.4694,1606,1615,100
65,225,7000,757.5,1.4,8,2.4,0.5,22,30,372,255.0000,0.0000,1.0267,0.0000,180.2725,2051,1614,100
66,225,7000,757.5,1.4,8,2.4,0.5,23,24,352,255.0000,0.0000,1.3387,0.0000,230.5183,1829,1616,100
67,225,70000,757.5,1.4,8,2.4,0.5,8,8,43,123.0000,0.0000,2.6275,2.0000,52.0462,1619,326,10
68,225,70000,757.5,1.4,8,2.4,0.5,8,8,37,57.0000,0.0000,1.5063,1.0000,11.1562,1835,326,10
69,225,70000,757.5,1.4,8,2.4,0.5,8,7,42,98.0000,1.0000,2.1329,1.0000,35.0238,2051,327,10
70,225,70000,757.5,1.4,8,2.4,0.5,5,5,15,10.0000,1.0000,1.2352,1.0000,0.6983,2270,327,10
71,225,70000,757.5,1.4,8,2.4,0.5,8,9,47,64.0000,0.0000,2.7167,2.0000,25.1397,548,329,10
72,225,70000,757.5,1.4,8,2.4,0.5,7,9,39,64.0000,0.0000,2.5441,2.0000,18.5566,761,328,10
73,225,70000,757.5,1.4,8,2.4,0.5,6,8,40,97.0000,0.0000,3.9433,3.0000,61.4251,975,328,10
74,225,70000,757.5,1.4,8,2.4,0.5,7,7,40,166.0000,0.0000,4.5976,3.0000,92.3858,1189,328,10
75,225,70000,757.5,1.4,8,2.4,0.5,8,7,32,37.0000,0.0000,1.6579,1.0000,5.1379,2482,329,10
76,225,70000,757.5,1.4,8,2.4,0.5,9,9,50,255.0000,0.0000,6.1294,2.0000,674.6401,538,751,20
77,225,70000,757.5,1.4,8,2.4,0.5,8,10,54,255.0000,1.0000,6.9760,2.0000,833.6364,753,751,20
78,225,70000,757.5,1.4,8,2.4,0.5,8,10,59,255.0000,0.0000,7.8370,2.0000,964.4194,970,751,20
79,225,70000,757.5,1.4,8,2.4,0.5,8,9,61,255.0000,1.0000,8.7778,2.0000,1093.3606,1186,752,20
80,225,70000,757.5,1.4,8,2.4,0.5,10,10,74,255.0000,0.0000,6.9360,2.0000,813.9671,1402,752,20
81,225,70000,757.5,1.4,8,2.4,0.5,10,10,71,255.0000,1.0000,6.3796,1.0000,784.8427,1620,752,20
82,225,70000,757.5,1.4,8,2.4,0.5,10,9,66,250.0000,0.0000,4.9004,1.0000,477.5101,1839,753,20
83,225,70000,757.5,1.4,8,2.4,0.5,10,9,64,250.0000,0.0000,5.7053,1.0000,640.6834,2057,753,20
84,225,70000,757.5,1.4,8,2.4,0.5,10,8,56,244.0000,1.0000,5.0690,1.0000,519.4242,2274,755,20
85,225,70000,757.5,1.4,8,2.4,0.5,9,7,41,213.0000,0.0000,3.6775,1.0000,225.9671,2491,757,20
86,225,70000,757.5,1.4,8,2.4,0.5,15,36,248,255.0000,1.0000,3.5774,2.0000,284.0431,2491,1177,50
87,225,70000,757.5,1.4,8,2.4,0.5,17,22,175,255.0000,1.0000,4.0086,1.0000,464.4506,2272,1178,50
88,225,70000,757.5,1.4,8,2.4,0.5,13,14,109,255.0000,0.0000,7.7600,2.0000,959.8382,530,1181,50
89,225,70000,757.5,1.4,8,2.4,0.5,15,19,189,255.0000,0.0000,5.4460,1.0000,769.1400,2056,1181,50
90,225,70000,757.5,1.4,8,2.4,0.5,12,12,105,255.0000,0.0000,9.0158,2.0000,1233.9778,747,1182,50
91,225,70000,757.5,1.4,8,2.4,0.5,11,10,92,255.0000,0.0000,10.1956,2.0000,1566.3617,965,1184,50
92,225,70000,757.5,1.4,8,2.4,0.5,10,11,83,255.0000,0.0000,8.2876,2.0000,1342.2420,1183,1185,50
93,225,70000,757.5,1.4,8,2.4,0.5,15,14,138,255.0000,0.0000,7.3375,1.0000,1093.3760,1837,1185,50
94,225,70000,757.5,1.4,8,2.4,0.5,13,11,99,255.0000,0.0000,7.8512,1.0000,1296.0187,1399,1186,50
95,225,70000,757.5,1.4,8,2.4,0.5,14,10,110,255.0000,0.0000,9.0543,1.0000,1417.9433,1618,1187,50
96,225,70000,757.5,1.4,8,2.4,0.5,21,23,296,255.0000,0.0000,6.7750,2.0000,846.4962,524,1607,100
97,225,70000,757.5,1.4,8,2.4,0.5,21,39,344,255.0000,1.0000,3.9306,2.0000,421.2342,2271,1610,100
98,225,70000,757.5,1.4,8,2.4,0.5,22,42,338,255.0000,1.0000,3.9156,2.0000,320.9143,2490,1611,100
99,225,70000,757.5,1.4,8,2.4,0.5,19,20,248,255.0000,0.0000,8.4424,2.0000,1127.7930,743,1612,100
100,225,70000,757.5,1.4,8,2.4,0.5,19,28,295,255.0000,0.0000,5.1514,1.0000,711.6856,2054,1614,100
101,225,70000,757.5,1.4,8,2.4,0.5,19,18,235,255.0000,0.0000,9.0712,2.0000,1231.5960,960,1616,100
102,225,70000,757.5,1.4,8,2.4,0.5,19,23,258,255.0000,0.0000,6.7345,1.0000,993.0410,1833,1617,100
103,225,70000,757.5,1.4,8,2.4,0.5,18,18,230,255.0000,0.0000,9.1970,2.0000,1318.6498,1177,1618,100
104,225,70000,757.5,1.4,8,2.4,0.5,18,20,233,255.0000,0.0000,8.4368,2.0000,1213.1853,1394,1618,100
105,225,70000,757.5,1.4,8,2.4,0.5,19,21,240,255.0000,1.0000,7.7328,1.0000,1132.9419,1612,1618,100
